Node,Lat,Lon,Grid Square,Desc,Firmware,API,Description,Uptime,Channel,Bandwidth 
"va7bce-100","49.283706","-124.844260","CN79ng","","3.25.5.1","1.14","Ubiquiti Bullet M (XM AR7241)","2 days, 16:01:45","-2","5",
"va7bce-500-landfill-link","49.28402","-124.84414","","","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","63 days, 11:46:29","178","20",
"va7bce-501","49.28410","-124.84416","CN79ng","VA7BCE to VE7AHE","3.25.10.0","1.14","Ubiquiti PowerBeam M5 (XW)","65 days, 6:43:26","149","20",
"va7cpm-hap-yvr","49.1325","-123.1757","","VA7CPM Shack Node,Richmond, BC Meshphone 250-5405","3.25.5.1","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","1 days, 8:30:55","","",
"va7dxx-hap-1","49.040006","-123.832054","","MID-ISLAND-AREDN-MESH-NETWORK","3.25.8.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","19 days, 14:12:57","-2","10",
"va7eet-home","49.26858","-124.78753","CN79og","VA7EET&apos;s QTH node&#10;patricklaing@gmail.com.","3.25.10.0","1.14","Ubiquiti PowerBeam M5 (XW)","11 days, 7:44:25","181","20",
"va7fi-hapac3-1","49.43316","-123.65199","CN89ek","Roberts Creek, BC","3.25.10.0","1.14","MikroTik hAP ac3","7 days, 12:48:46","","",
"va7gfd-benson-link","49.175639","-123.834569","","GABRIOLA OLD FH LINK TO BENSON","3.25.8.0","1.14","MikroTik RouterBOARD LHG 5HPnD","6 days, 6:05:34","172","5",
"va7gfd-hap-1","49.176342","-123.834678","","GABRIOLA FIRE HALL ECC","3.25.8.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","18 days, 5:50:33","","",
"va7gfd-radio-room-link","49.176342","-123.834678","CN89be","RADIO ROOM LINK TO OLD FIRE HALL","3.25.8.0","1.14","MikroTik RouterBOARD LHG 5HPnD","18 days, 5:50:15","172","5",
"va7itr-rtr-1","","","","","3.25.10.0","1.14","MikroTik hAP ac3","31 days, 21:22:22","","",
"va7jdj-1","49.24464","-123.03369","CN89lf","Test 1st ARDEN node","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","37 days, 23:49:26","","",
"va7jdj-conc","49.17993","-122.84334","CN89ne","","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","15 days, 13:34:44","172","5",
"va7jjr-hap-1","49.44608","-123.71788","CN89dk","My Home node","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","66 days, 7:06:34","149","10",
"va7lsp-hapac3-1","49.48283","-123.76387","CN89cl","Sechelt, BC","3.25.10.0","1.14","MikroTik hAP ac3","28 days, 7:23:33","133","10",
"va7mpg-dish1","49.170893","-123.779984","CN89ce","GABRIOLA ISLAND BC CHANNEL 144","3.25.8.0","1.14","MikroTik RouterBOARD LHG 5HPnD","13 days, 20:13:46","144","10",
"va7mpg-hap-1","49.17224","-123.78014","CN89ce","VA7MPG-HAP-1","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","13 days, 20:14:24","","",
"va7nic-500-hamshack","49.22518","-124.79135","CN79of","5g Powerbeam @ VA7NIC","3.25.10.0","1.14","Ubiquiti Rocket M5 (XW)","10 days, 7:57:57","3425","20",
"va7nm-cpe710-1","49.90835","-125.18937","CN79jv","","3.25.10.0","1.14","TP-Link CPE710 v2","29 days, 10:33:54","170","5",
"va7nm-cpe710-2","49.90690","-125.18904","CN79jv","","3.25.10.0","1.14","TP-Link CPE710 v2","19 days, 5:10:16","170","5",
"va7nm-mtw-ne","49.75283","-125.29657","CN79is","Mount Washington Summit NorthEast","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","38 days, 20:52:59","144","5",
"va7nm-shack","49.90408","-125.19826","CN79jv","","3.25.10.0","1.14","QEMU Standard PC (Q35 + ICH9, 2009)","13 days, 20:46:24","","",
"va7pam-500-landfill-east","49.256491","-124.861414","","VA7PAM LandFill East 90 deg Sector Antenna","3.25.5.1","1.14","Ubiquiti Rocket 5AC Lite","23 days, 21:07:42","181","20",
"va7pam-500-landfilleast","49.256491","-124.861414","","VA7PAM LandFill East 90 deg Sector Antenna","3.25.5.1","1.14","Ubiquiti Rocket 5AC Lite","23 days, 21:07:42","181","20",
"va7pam-500-ve7ku-link","49.256491","-124.861414","","Alberni Valley Landfill to VE7KU Mt Cokley","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","30 days, 6:26:28","173","5",
