Node,Lat,Lon,Grid Square,Desc,Firmware,API,Description,Uptime,Channel,Bandwidth 
"va7bce-100","49.283706","-124.844260","CN79ng","","3.25.5.1","1.14","Ubiquiti Bullet M (XM AR7241)","2 days, 16:15:04","-2","5",
"va7bce-500-landfill-link","49.28402","-124.84414","","","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","63 days, 11:59:48","178","20",
"va7bce-501","49.28410","-124.84416","CN79ng","VA7BCE to VE7AHE","3.25.10.0","1.14","Ubiquiti PowerBeam M5 (XW)","65 days, 6:56:45","149","20",
"va7cpm-hap-yvr","49.1325","-123.1757","","VA7CPM Shack Node,Richmond, BC Meshphone 250-5405","3.25.5.1","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","1 days, 8:44:14","","",
"va7dxx-hap-1","49.040006","-123.832054","","MID-ISLAND-AREDN-MESH-NETWORK","3.25.8.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","19 days, 14:26:16","-2","10",
"va7eet-home","49.26858","-124.78753","CN79og","VA7EET&apos;s QTH node&#10;patricklaing@gmail.com.","3.25.10.0","1.14","Ubiquiti PowerBeam M5 (XW)","11 days, 7:57:44","181","20",
"va7fi-hapac3-1","49.43316","-123.65199","CN89ek","Roberts Creek, BC","3.25.10.0","1.14","MikroTik hAP ac3","7 days, 13:02:05","","",
"va7gfd-benson-link","49.175639","-123.834569","","GABRIOLA OLD FH LINK TO BENSON","3.25.8.0","1.14","MikroTik RouterBOARD LHG 5HPnD","6 days, 6:18:53","172","5",
"va7gfd-hap-1","49.176342","-123.834678","","GABRIOLA FIRE HALL ECC","3.25.8.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","18 days, 6:03:52","","",
"va7gfd-radio-room-link","49.176342","-123.834678","CN89be","RADIO ROOM LINK TO OLD FIRE HALL","3.25.8.0","1.14","MikroTik RouterBOARD LHG 5HPnD","18 days, 6:03:34","172","5",
"va7itr-rtr-1","","","","","3.25.10.0","1.14","MikroTik hAP ac3","31 days, 21:35:41","","",
"va7jdj-1","49.24464","-123.03369","CN89lf","Test 1st ARDEN node","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","38 days, 0:02:45","","",
"va7jdj-conc","49.17993","-122.84334","CN89ne","","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","15 days, 13:48:03","172","5",
"va7jjr-hap-1","49.44608","-123.71788","CN89dk","My Home node","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","66 days, 7:19:54","149","10",
"va7lsp-hapac3-1","49.48283","-123.76387","CN89cl","Sechelt, BC","3.25.10.0","1.14","MikroTik hAP ac3","28 days, 7:36:52","133","10",
"va7mpg-dish1","49.170893","-123.779984","CN89ce","GABRIOLA ISLAND BC CHANNEL 144","3.25.8.0","1.14","MikroTik RouterBOARD LHG 5HPnD","13 days, 20:27:05","144","10",
"va7mpg-hap-1","49.17224","-123.78014","CN89ce","VA7MPG-HAP-1","3.25.10.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","13 days, 20:27:43","","",
"va7nic-500-hamshack","49.22518","-124.79135","CN79of","5g Powerbeam @ VA7NIC","3.25.10.0","1.14","Ubiquiti Rocket M5 (XW)","10 days, 8:11:16","3425","20",
