Node,Lat,Lon,Grid Square,Desc,Firmware,API,Description,Uptime,Channel,Bandwidth 
"va7bce-100","49.283706","-124.844260","CN79ng","","3.25.5.1","1.14","Ubiquiti Bullet M (XM AR7241)","2 days, 17:16:34","-2","5",
"va7bce-500-landfill-link","49.28402","-124.84414","","","3.25.10.0","1.14","Ubiquiti Rocket 5AC Lite","69 days, 5:47:50","178","20",
"va7bce-501","49.28410","-124.84416","CN79ng","VA7BCE to VE7AHE","3.25.10.0","1.14","Ubiquiti PowerBeam M5 (XW)","71 days, 0:44:45","149","20",
"va7cpm-hap-yvr","49.1325","-123.1757","","VA7CPM Shack Node,Richmond, BC Meshphone 250-5405","3.25.5.1","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","7 days, 2:31:54","","",
"va7dxx-benson-link","49.040906","-123.833427","","MID-ISLAND-AREDN-NETWORK","3.25.10.0","1.14","Ubiquiti Rocket M5 (XW)","25 days, 8:15:27","172","5",
"va7dxx-hap-1","49.040006","-123.832054","","MID-ISLAND-AREDN-MESH-NETWORK","3.25.8.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","25 days, 8:13:52","-2","10",
"va7eet-home","49.26858","-124.78753","CN79og","VA7EET&apos;s QTH node&#10;patricklaing@gmail.com.","3.25.10.0","1.14","Ubiquiti PowerBeam M5 (XW)","17 days, 1:45:45","181","20",
"va7fi-hapac3-1","49.43316","-123.65199","CN89ek","Roberts Creek, BC","3.25.10.0","1.14","MikroTik hAP ac3","13 days, 6:50:03","","",
"va7gfd-benson-link","49.175639","-123.834569","","GABRIOLA OLD FH LINK TO BENSON","3.25.8.0","1.14","MikroTik RouterBOARD LHG 5HPnD","12 days, 0:06:48","172","5",
"va7gfd-hap-1","49.176342","-123.834678","","GABRIOLA FIRE HALL ECC","3.25.8.0","1.14","MikroTik RouterBOARD 952Ui-5ac2nD (hAP ac lite)","5 days, 2:27:34","","",
